Nombre,Musculos,Descripcion,Imagen,Tag
Aperturas con mancuerna en banco inclinado,Pectoral superior,"Siéntate en un banco inclinado con las mancuernas a la altura del pecho.Agarra las mancuernas de modo a que las palmas de las manos queden giradas hacia adentro. Levanta las dos mancuernas, intentando juntarlas pero sin llegar a tocar cuando los brazos estén completamente extendidos. Regresa lentamente a la posición inicial.","https://www.cambiatufisico.com/wp-content/uploads/aperturas-mancuerna-banco-inclinado.jpg","Pectoral mayor superior,Deltoides anterior"
Aperturas con mancuerna en banco inclinado en supinación,Pectoral superior,"Siéntate en un banco inclinado con las mancuernas a la altura del pecho.Agarra las mancuernas de modo a que las palmas de las manos queden giradas hacia adentro. Levanta las dos mancuernas, intentando juntarlas pero sin llegar a tocar cuando los brazos estén completamente extendidos con las palmas hacia la cara. Regresa lentamente a la posición inicial.","https://www.cambiatufisico.com/wp-content/uploads/aperturas-inclinadas-con-mancuerna-supinacion.jpg","Pectoral mayor superior,Deltoides anterior"
Aperturas en poleas en banco inclinado,Pectoral superior,"Siéntate en un banco inclinado con las poleas agarradas a la altura del pecho.Agarra las poleas de modo a que las palmas de las manos queden giradas hacia adentro. Levanta las dos poleas, intentando juntarlas pero sin llegar a tocar cuando los brazos estén completamente extendidos. Regresa lentamente a la posición inicial.","https://www.cambiatufisico.com/wp-content/uploads/aperturas-inclinadas-polea.jpg","Pectoral mayor superior,Deltoides anterior"
Press con barra en banco inclinado,Pectoral superior,"Acostados sobre un banco inclinado en ángulo aproximado de 30 a 45°. Separad las piernas ligeramente apoyando los pies sobre el suelo. Las caderas, hombros y cabeza deben reposar sobre el banco.Agarrad una barra con agarre prono. Las manos deben estar algo más abiertas que la anchura de vuestros hombros. Bajad la barra a la parte superior del pecho, tomad aire y retened el aliento cuando subáis el peso hacia el punto de partida. Dirigid los codos hacia los lados y mantenedlos así. Expulsad a medida que superéis la parte más difícil de la subida o al extender los brazos. Deteneos en la posición final con los brazos extendidos y verticales. Tomad aire y retened el aliento a medida que bajéis el peso bajo control hasta la parte alta del pecho. Si preferís deteneos un instante abajo, expulsad el aire después de llegar allí, tomadlo luego y retened la respiración cuando subáis la barra. Utilizad una velocidad moderada, manteniendo siempre el peso bajo control.","https://www.cambiatufisico.com/wp-content/uploads/press-inclinado-barra.jpg","Pectoral mayor superior,Deltoides anterior"
Press con mancuernas en banco inclinado,Pectoral superior,"Sitúate sobre un banco con una inclinación entre 30 y 45 grados. Apoya los pies contra el suelo y extiende las piernas ligeramente para mantener el equilibrio. Las caderas, los hombros y la cabeza deben estar alineados y en contacto con el banco. Coge una mancuerna con cada mano con un agarre de palmas hacia arriba. Las palmas han de mirar en la misma dirección que tu – al frente- durante el ejercicio. Lleva las mancuernas a la altura del hombro con las manos colocadas junto a los hombros. Cuando estés preparado, inspira y aguanta la respiración mientras empujas las mancuernas hacia arriba y hacia dentro. Mantén los codos hacia los lados, en el mismo plano que los hombros. Expulsa el aire cuando pases el punto más difícil de la fase ascendente, cuando los brazos se extienden por completo. Detente un instante en la posición sobre la cabeza. Inspira y aguanta la respiración mientras bajas las mancuernas hasta los hombros. Cuando las mancuernas alcanzan la posición más baja, empújalas de nuevo hacia arriba hasta que los brazos queden totalmente extendidos. Haz una pausa y repite el ejercicio. Para aumentar la intensidad, sube las mancuernas muy juntas pero sin tocarse. Haz las repeticiones a velocidad moderada y controla el peso en todo momento. Para variar y aumentar el recorrido puedes hacer press inclinado a una sola mano, elevando la mancuerna todo lo posible para que el hombro deje el banco ligeramente.","https://www.cambiatufisico.com/wp-content/uploads/press-inclinado-mancuernas.jpg","Pectoral mayor superior,Deltoides anterior"
Press con mancuernas en banco inclinado agarre neutro,Pectoral superior,"Sitúate sobre un banco con una inclinación entre 30 y 45 grados. Apoya los pies contra el suelo y extiende las piernas ligeramente para mantener el equilibrio. Las caderas, los hombros y la cabeza deben estar alineados y en contacto con el banco. Coge una mancuerna con cada mano con un agarre de palmas hacia el pecho. Las palmas han de mirar en la misma dirección que tu – al frente- durante el ejercicio. Lleva las mancuernas a la altura del hombro con las manos colocadas junto a los hombros. Cuando estés preparado, inspira y aguanta la respiración mientras empujas las mancuernas hacia arriba y hacia dentro. Mantén los codos hacia los lados, en el mismo plano que los hombros. Expulsa el aire cuando pases el punto más difícil de la fase ascendente, cuando los brazos se extienden por completo. Detente un instante en la posición sobre la cabeza. Inspira y aguanta la respiración mientras bajas las mancuernas hasta los hombros. Cuando las mancuernas alcanzan la posición más baja, empújalas de nuevo hacia arriba hasta que los brazos queden totalmente extendidos. Haz una pausa y repite el ejercicio. Para aumentar la intensidad, sube las mancuernas muy juntas pero sin tocarse. Haz las repeticiones a velocidad moderada y controla el peso en todo momento. Para variar y aumentar el recorrido puedes hacer press inclinado a una sola mano, elevando la mancuerna todo lo posible para que el hombro deje el banco ligeramente.","https://www.cambiatufisico.com/wp-content/uploads/press-inclinado-mancuernas-agarre-martillo.jpg","Pectoral mayor superior,Deltoides anterior"
Press de banca al cuello,Pectoral superior,"El ejercicio de press de banca, en su más correcta interpretación, ha de efectuarse llevando la barra a la base del cuello; sin embargo, la mayoría de la gente que practica el ejercicio no lo interpreta así, quizá porque al efectuarlo de esta manera no puede utilizar la misma cantidad de peso que si llevará la barra a la mitad de los músculos pectorales o a la línea de éstos. Al respecto hemos de decir que en muchos casos el manejar pesos grandes no es lo más importante, sobre todo el hacer esto lleva consigo desvirtuar la técnica correcta de un determinado ejercicio. Olvídense, pues, del peso grande, y traten de realizar el ejercicio que hagan, en este caso el press de banca, de manera correcta. Los resultados merecen la pena. Tumbados sobre un banco horizontal con soportes, sacaremos la barra de éstos y una vez que esté fuera, dejaremos los brazos perfectamente encajados por los codos. Desde esta posición, desciendan la barra hasta la base del cuello flexionando, lógicamente, los brazos. A partir de ese punto utilizando para ello la fuerza de pectorales, deltoides y tríceps, suban la barra en vertical hasta el punto de partida. La separación de manos en este ejercicio habrá de ser aproximada a la anchura de los hombros, y la respiración se hará del modo siguiente: tomar aire cuando la barra descienda hasta la base del cuello y expulsarlo cuando la elevemos.","https://www.cambiatufisico.com/wp-content/uploads/Press-de-banca-al-cuello.jpg","Pectoral mayor superior"
Press de banca con barra y agarre cerrado,Triceps,"Tumbaos de espaldas sobra una banca plana con los pies firmes sobre el suelo. Para una mayor seguridad emplead una banca con soporte para la barra, de forma que ésta ya esté apoyada a una distancia equivalente a la longitud de los brazos. Coged la barra con las manos por encima y una separación entre ellas de unos 20-25 centímetros –por el interior de la amplitud de hombros–. Rodead la barra con los pulgares para mayor seguridad. Prestad atención a no usar una separación de manos muy estrecha, puesto que eso generará una indebida tensión sobre las muñecas, pero sin embargo no añadirá más tensión a los tríceps. Con cuidado sacad la barra del soporte y mantenedla sobre el pecho con los brazos completamente estirados. Doblad los brazos para bajar la barra lentamente hacia la parte inferior del pectoral, manteniendo los codos cercanos al cuerpo. Para reducir la tensión de los pectorales mantened los codos siempre pegados al cuerpo y evitad que éstos se separen hacia fuera lateralmente. No rebotéis la barra sobre el pecho, en su lugar cuando ésta se acerque a un par de centímetros o así del mismo, reducid la velocidad del movimiento e invertid la dirección empujando hacia arriba. Ahora empujad con fuerza la barra hasta enderezar por completo los brazos sin llegar a bloquearlos del todo. Apretad los tríceps y el pecho con fuerza arriba, al tiempo que expulsáis el aire. Repetid.","https://www.cambiatufisico.com/wp-content/uploads/press-banca-agarre-cerrado.jpg","Tríceps,Pectoral,Deltoides anteriores."
Press inclinado en máquina de discos,Pectoral superior,"Inicio: Ajustar el asiento de la máquina de tal manera que los manillares queden por fuera de la parte inferior del pecho en su posición baja. Mantener los pies planos sobre el suelo y la espalda y la cabeza contra el respaldo del asiento. Comenzar en la posición baja. Ejecución: Hacer press con trayecto del movimiento predeterminado por la máquina hasta que los codos estén extendidos pero sin bloquear. Lentamente, bajar la barra hasta la posición sin permitir que entre dos repeticiones el peso descanse sobre la sujeción. Variaciones: Hay muchos tipos de máquinas de press, incluidas las que se asemejan a los press declinados e inclinados y máquinas que se cargan con discos (la máquina Hammer Strengh de la foto es una de las modalidades más populares). Muchas también tienen diferentes posiciones de agarre, lo cual permite utilizar desde los muy estrechos o los más anchos e incluso un agarre neutro.","https://www.cambiatufisico.com/wp-content/uploads/press-inclinado-maquina.jpg","Pectoral mayor superior,Deltoides anterior"
Press inclinado en Multipower,Pectoral superior,"Acostados sobre un banco inclinado en Multipower en ángulo aproximado de 30 a 45°. Separad las piernas ligeramente apoyando los pies sobre el suelo. Las caderas, hombros y cabeza deben reposar sobre el banco.Agarrad una barra con agarre prono. Las manos deben estar algo más abiertas que la anchura de vuestros hombros. Bajad la barra a la parte superior del pecho, tomad aire y retened el aliento cuando subáis el peso hacia el punto de partida. Dirigid los codos hacia los lados y mantenedlos así. Expulsad a medida que superéis la parte más difícil de la subida o al extender los brazos. Deteneos en la posición final con los brazos extendidos y verticales. Tomad aire y retened el aliento a medida que bajéis el peso bajo control hasta la parte alta del pecho. Si preferís deteneos un instante abajo, expulsad el aire después de llegar allí, tomadlo luego y retened la respiración cuando subáis la barra. Utilizad una velocidad moderada, manteniendo siempre el peso bajo control.","https://www.cambiatufisico.com/wp-content/uploads/press-inclinado-multipower.jpg","Pectoral mayor superior,Deltoides anterior"
